,anger,contempt,disgust,fear,happy,neutral,sadness,surprise
angry1_1,0.014,0.0,0.0,0.0,0.489,0.493,0.004,0.0
angry1_2,0.123,0.049,0.347,0.025,0.332,0.065,0.005,0.054
angry1_inv_1,0.007,0.0,0.0,0.0,0.648,0.339,0.006,0.0
angry1_inv_2,0.043,0.047,0.298,0.031,0.494,0.046,0.003,0.038
angry2_1,0.015,0.0,0.0,0.0,0.39,0.591,0.004,0.0
angry2_2,0.187,0.063,0.347,0.036,0.23,0.074,0.015,0.048
angry2_inv_1,0.007,0.0,0.0,0.0,0.739,0.248,0.006,0.0
angry2_inv_2,0.022,0.036,0.231,0.027,0.618,0.027,0.001,0.038
contempt1_1,0.014,0.0,0.0,0.0,0.54,0.441,0.005,0.0
contempt1_2,0.083,0.067,0.326,0.031,0.378,0.06,0.004,0.051
contempt1_inv_1,0.008,0.0,0.0,0.0,0.599,0.389,0.004,0.0
contempt1_inv_2,0.066,0.039,0.333,0.031,0.431,0.054,0.003,0.043
contempt2_1,0.017,0.0,0.0,0.0,0.541,0.438,0.004,0.0
contempt2_2,0.083,0.082,0.317,0.03,0.364,0.067,0.006,0.051
contempt2_inv_1,0.009,0.0,0.0,0.0,0.607,0.381,0.003,0.0
contempt2_inv_2,0.064,0.03,0.334,0.037,0.446,0.047,0.002,0.04
disgust1_1,0.013,0.0,0.0,0.0,0.502,0.48,0.005,0.0
disgust1_2,0.082,0.04,0.419,0.028,0.339,0.05,0.004,0.038
disgust1_inv_1,0.012,0.0,0.0,0.0,0.631,0.353,0.004,0.0
disgust1_inv_2,0.056,0.072,0.246,0.04,0.465,0.066,0.003,0.052
disgust2_1,0.016,0.0,0.0,0.0,0.414,0.564,0.006,0.0
disgust2_2,0.111,0.033,0.492,0.027,0.245,0.051,0.009,0.032
disgust2_inv_1,0.011,0.0,0.0,0.0,0.712,0.273,0.004,0.0
disgust2_inv_2,0.041,0.06,0.16,0.035,0.593,0.045,0.003,0.063
fear1_1,0.013,0.0,0.0,0.0,0.547,0.436,0.004,0.0
fear1_2,0.088,0.048,0.325,0.05,0.368,0.063,0.007,0.051
fear1_inv_1,0.013,0.0,0.0,0.0,0.593,0.389,0.005,0.0
fear1_inv_2,0.07,0.054,0.324,0.02,0.437,0.051,0.003,0.041
fear2_1,0.014,0.0,0.0,0.0,0.531,0.451,0.004,0.0
fear2_2,0.088,0.043,0.319,0.06,0.357,0.064,0.006,0.063
fear2_inv_1,0.014,0.0,0.0,0.0,0.605,0.376,0.005,0.0
fear2_inv_2,0.071,0.055,0.326,0.015,0.442,0.046,0.004,0.041
happy1_1,0.007,0.0,0.0,0.0,0.887,0.105,0.001,0.0
happy1_2,0.003,0.016,0.133,0.016,0.798,0.004,0.0,0.03
happy1_inv_1,0.024,0.0,0.0,0.0,0.194,0.775,0.007,0.0
happy1_inv_2,0.208,0.045,0.396,0.036,0.075,0.139,0.027,0.074
happy2_1,0.006,0.0,0.0,0.0,0.899,0.092,0.003,0.0
happy2_2,0.001,0.01,0.11,0.013,0.837,0.005,0.0,0.024
happy2_inv_1,0.03,0.0,0.0,0.0,0.177,0.788,0.005,0.0
happy2_inv_2,0.244,0.042,0.396,0.029,0.051,0.12,0.037,0.081
neutral1_1,0.018,0.0,0.0,0.0,0.285,0.692,0.005,0.0
neutral1_2,0.152,0.048,0.379,0.042,0.174,0.135,0.015,0.055
neutral1_inv_1,0.008,0.0,0.0,0.0,0.807,0.178,0.007,0.0
neutral1_inv_2,0.022,0.026,0.2,0.025,0.679,0.01,0.001,0.037
neutral2_1,0.02,0.0,0.0,0.0,0.33,0.646,0.004,0.0
neutral2_2,0.11,0.052,0.308,0.028,0.235,0.203,0.01,0.054
neutral2_inv_1,0.007,0.0,0.0,0.0,0.779,0.208,0.006,0.0
neutral2_inv_2,0.026,0.034,0.284,0.029,0.585,0.003,0.002,0.037
original_1,0.01,0.0,0.0,0.0,0.57,0.415,0.005,0.0
original_2,0.075,0.056,0.328,0.028,0.4,0.062,0.004,0.047
sad1_1,0.16,0.0,0.0,0.0,0.161,0.561,0.118,0.0
sad1_2,0.019,0.012,0.451,0.031,0.021,0.005,0.095,0.366
sad1_inv_1,0.001,0.0,0.0,0.0,0.901,0.098,0.0,0.0
sad1_inv_2,0.001,0.014,0.182,0.002,0.795,0.004,0.0,0.002
sad2_1,0.055,0.0,0.0,0.0,0.093,0.832,0.02,0.0
sad2_2,0.201,0.028,0.343,0.059,0.01,0.049,0.162,0.148
sad2_inv_1,0.004,0.0,0.0,0.0,0.931,0.063,0.002,0.0
sad2_inv_2,0.0,0.005,0.057,0.001,0.915,0.001,0.0,0.021
surprise1_1,0.031,0.0,0.0,0.0,0.514,0.449,0.006,0.0
surprise1_2,0.079,0.046,0.331,0.036,0.329,0.063,0.011,0.105
surprise1_inv_1,0.007,0.0,0.0,0.0,0.62,0.37,0.003,0.0
surprise1_inv_2,0.064,0.05,0.317,0.029,0.475,0.046,0.001,0.018
surprise2_1,0.055,0.0,0.0,0.0,0.464,0.469,0.012,0.0
surprise2_2,0.058,0.044,0.301,0.038,0.27,0.076,0.012,0.201
surprise2_inv_1,0.002,0.0,0.0,0.0,0.659,0.338,0.001,0.0
surprise2_inv_2,0.061,0.051,0.324,0.023,0.496,0.038,0.002,0.005
